"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2017-2018",82,5002.3,1556,1538,1781,31.92,36.53,31.55,0.47,2499,2376,51.26,831,480,9.97,5.76,1949,1747,202,23.38,20.95
"ARI","2017-2018",82,4999.24,1682,1575,1831,33.06,35.99,30.96,0.48,2429,2659,47.74,600,449,7.2,5.39,1999,1761,238,23.99,21.14
"BOS","2017-2018",82,4982.33,1852,1656,1569,36.48,30.9,32.62,0.54,2577,2500,50.76,760,682,9.15,8.21,1914,2256,-342,23.05,27.17
"BUF","2017-2018",82,4974.03,1748,1549,1631,35.47,33.1,31.43,0.52,2536,2384,51.54,621,445,7.49,5.37,1767,1571,196,21.31,18.95
"CAR","2017-2018",82,4981.95,1840,1568,1391,38.34,28.99,32.67,0.57,2590,2199,54.08,803,887,9.67,10.68,1597,1994,-397,19.23,24.01
"CBJ","2017-2018",82,4995.44,1772,1559,1627,35.74,32.82,31.44,0.52,2400,2558,48.41,518,616,6.22,7.4,1745,1604,141,20.96,19.27
"CGY","2017-2018",82,4979.69,1790,1596,1671,35.4,33.04,31.56,0.52,2493,2560,49.34,824,678,9.93,8.17,1639,1311,328,19.75,15.8
"CHI","2017-2018",82,4966.29,1892,1565,1562,37.7,31.12,31.18,0.55,2472,2547,49.25,699,586,8.44,7.08,1376,2051,-675,16.62,24.78
"COL","2017-2018",82,4977.17,1567,1555,1706,32.46,35.34,32.21,0.48,2135,2693,44.22,507,523,6.11,6.3,1632,1659,-27,19.67,20
"DAL","2017-2018",82,4981.23,1637,1693,1814,31.82,35.26,32.91,0.47,2701,2443,52.51,697,459,8.4,5.53,1861,1707,154,22.42,20.56
"DET","2017-2018",81,5041.82,1662,1552,1726,33.64,34.94,31.42,0.49,2412,2528,48.83,861,500,10.25,5.95,1594,1596,-2,18.97,18.99
"EDM","2017-2018",82,4976.44,1729,1575,1613,35.16,32.8,32.03,0.52,2394,2523,48.69,1026,676,12.37,8.15,2134,1806,328,25.73,21.77
"FLA","2017-2018",82,5090.52,1636,1719,1881,31.25,35.92,32.83,0.47,2657,2579,50.74,1076,746,12.68,8.79,1653,1500,153,19.48,17.68
"L.A","2017-2018",82,4982.49,1684,1536,1663,34.49,34.06,31.46,0.5,2428,2455,49.72,838,396,10.09,4.77,2115,1998,117,25.47,24.06
"MIN","2017-2018",82,4993.94,1557,1581,1712,32.1,35.3,32.6,0.48,2410,2430,49.79,511,480,6.14,5.77,1367,1514,-147,16.42,18.19
"MTL","2017-2018",82,4979.72,1719,1650,1669,34.12,33.13,32.75,0.51,2391,2639,47.53,989,579,11.92,6.98,2169,2145,24,26.13,25.84
"N.J","2017-2018",82,4989.84,1657,1572,1817,32.84,36.01,31.15,0.48,2371,2675,46.99,653,679,7.85,8.16,1816,1949,-133,21.84,23.44
"NSH","2017-2018",82,5006.7,1694,1623,1848,32.8,35.78,31.42,0.48,2753,2412,53.3,795,648,9.53,7.77,1655,1653,2,19.83,19.81
"NYI","2017-2018",82,4983.47,1549,1573,1797,31.49,36.53,31.98,0.46,2404,2515,48.87,920,541,11.08,6.51,1816,1671,145,21.86,20.12
"NYR","2017-2018",82,4979.48,1633,1554,1650,33.76,34.11,32.13,0.5,2384,2453,49.29,1039,713,12.52,8.59,1714,1667,47,20.65,20.09
"OTT","2017-2018",82,4985.06,1658,1627,1684,33.37,33.89,32.74,0.5,2499,2470,50.29,809,559,9.74,6.73,1966,1749,217,23.66,21.05
"PHI","2017-2018",82,4996.85,1610,1569,1633,33.46,33.94,32.61,0.5,2563,2249,53.26,757,478,9.09,5.74,1670,1767,-97,20.05,21.22
"PIT","2017-2018",82,4966.34,1802,1675,1640,35.22,32.05,32.73,0.52,2571,2546,50.24,734,582,8.87,7.03,1951,2095,-144,23.57,25.31
"S.J","2017-2018",82,4985.38,1688,1699,1604,33.82,32.14,34.04,0.51,2558,2433,51.25,823,710,9.9,8.54,1380,2018,-638,16.61,24.29
"STL","2017-2018",82,4966.91,1695,1530,1689,34.49,34.37,31.14,0.5,2487,2427,50.61,482,613,5.82,7.41,1893,1775,118,22.87,21.44
"T.B","2017-2018",82,4979.6,1752,1690,1620,34.61,32,33.39,0.52,2441,2621,48.22,692,575,8.34,6.93,1728,1711,17,20.82,20.62
"TOR","2017-2018",82,4988.12,1688,1677,1821,32.55,35.11,32.34,0.48,2687,2499,51.81,1005,690,12.09,8.3,1632,1953,-321,19.63,23.49
"VAN","2017-2018",81,4912.99,1593,1524,1716,32.96,35.51,31.53,0.48,2393,2436,49.55,658,495,8.04,6.05,1726,1511,215,21.08,18.45
"VGK","2017-2018",82,4985.69,1775,1586,1626,35.59,32.6,31.8,0.52,2439,2548,48.91,779,855,9.37,10.29,1767,1884,-117,21.26,22.67
"WPG","2017-2018",82,4982.18,1728,1561,1766,34.18,34.94,30.88,0.49,2649,2406,52.4,831,589,10.01,7.09,1831,1576,255,22.05,18.98
"WSH","2017-2018",82,4975.08,1573,1661,1660,32.14,33.92,33.94,0.49,2467,2427,50.41,882,592,10.64,7.14,1784,1641,143,21.52,19.79
