,,,,,,,,,,,,,,,,,,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Shot Data,Shot Data,Shot Data,Shot Data,Shot Data
Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
1,Washington Capitals*,27.9,82,56,18,8,120,.732,252,193,4,2,0.70,-0.02,5.43,191,148,55,251,21.91,38,256,85.16,2,5,9.2,8.9,2510,9.9,2332,.918,101.1
2,Dallas Stars*,28.9,82,50,23,9,109,.665,267,230,2,2,0.45,-0.01,6.06,197,154,58,262,22.14,44,248,82.26,10,15,8.8,7.9,2624,10.1,2123,.905,99.8
3,St. Louis Blues*,28.0,82,49,24,9,107,.652,224,201,5,4,0.28,0.00,5.18,164,151,51,237,21.52,41,276,85.14,4,5,10.5,9.2,2474,8.9,2439,.919,100.1
4,Pittsburgh Penguins*,29.0,82,48,26,8,104,.634,245,203,4,4,0.50,-0.01,5.46,182,150,48,261,18.39,40,257,84.44,11,5,8.5,8.7,2722,8.9,2348,.919,100.5
5,Anaheim Ducks*,27.4,82,46,25,11,103,.628,218,192,3,4,0.27,-0.05,5.00,152,146,56,245,22.86,37,290,87.24,7,3,12.5,10.5,2483,8.7,2177,.915,99.2
6,Florida Panthers*,29.2,82,47,26,9,103,.628,239,203,7,3,0.42,-0.02,5.39,180,138,47,278,16.91,55,268,79.48,5,5,10.4,10.2,2358,9.8,2391,.918,101.7
7,Chicago Blackhawks*,28.6,82,47,26,9,103,.628,235,209,1,2,0.32,0.00,5.41,167,158,57,252,22.62,46,233,80.26,10,3,7.5,8.6,2498,9.4,2526,.918,99.6
8,Los Angeles Kings*,28.3,82,48,28,6,102,.622,225,195,2,3,0.32,-0.04,5.12,171,136,47,235,20.00,53,285,81.40,5,3,10.6,9.1,2625,8.5,2254,.915,99.8
9,New York Rangers*,29.6,82,46,27,9,101,.616,236,217,3,2,0.24,0.01,5.52,188,152,42,226,18.58,53,243,78.19,3,5,8.6,7.7,2336,10.0,2383,.913,102.1
10,New York Islanders*,27.9,82,45,27,10,100,.610,232,216,5,5,0.19,0.00,5.46,178,169,43,229,18.78,36,232,84.48,7,6,8.8,9.2,2412,9.4,2495,.915,100.6
