,Player,Season,Team,Name,GP,TOI,OZS,NZS,DZS,OZS%,DZS%,NZS%,ZSR,iFOW,iFOL,iFO%,iPENT2,iPENT5,iPENT,iPEND2,iPEND5,iPEND,iPENT/60,iPEND/60,iGVA,iTKA,iGVA/60,iTKA/60,iHF,iHA,iH+/-,iHF/60,iHA/60,VEGAS
43,BEN.LOVEJOY,2016-2017,N.J,,82,1370.8,269,481,574,20.32,43.35,36.33,0.32,0,0,NA,13,0,13,4,0,4,0.57,0.18,32,14,1.4,0.61,71,116,-45,3.11,5.08,
71,BRIAN.GIONTA,2016-2017,BUF,,82,1063.17,261,387,399,24.93,38.11,36.96,0.4,19,38,33.33,10,0,10,7,0,7,0.56,0.4,20,19,1.13,1.07,50,66,-16,2.82,3.72,
82,CALVIN.DE HAAN,2016-2017,NYI,,82,1380.82,361,457,398,29.69,32.73,37.58,0.48,0,0,NA,12,1,13,9,1,10,0.56,0.43,47,21,2.04,0.91,125,108,17,5.43,4.69,
93,CHRIS.KELLY,2016-2017,OTT,,82,792.26,239,273,223,32.52,30.34,37.14,0.52,175,195,47.3,6,1,7,5,1,6,0.53,0.45,21,14,1.59,1.06,69,49,20,5.23,3.71,
141,DEREK.MACKENZIE,2016-2017,FLA,,82,813.55,177,282,323,22.63,41.3,36.06,0.35,287,263,52.18,13,2,15,16,2,18,1.11,1.33,19,25,1.4,1.84,179,54,125,13.2,3.98,
150,DOMINIC.MOORE,2016-2017,BOS,,82,850.5,206,243,302,27.43,40.21,32.36,0.41,283,222,56.04,20,0,20,11,0,11,1.41,0.78,24,25,1.69,1.76,57,71,-14,4.02,5.01,
164,ERIC.STAAL,2016-2017,MIN,,82,1146.29,351,391,354,32.03,32.3,35.68,0.5,452,476,48.71,13,0,13,14,0,14,0.68,0.73,21,40,1.1,2.09,38,53,-15,1.99,2.77,
193,JACK.JOHNSON,2016-2017,CBJ,,82,1484.28,411,469,609,27.6,40.9,31.5,0.4,1,0,100,14,0,14,11,0,11,0.57,0.44,23,13,0.93,0.53,81,97,-16,3.27,3.92,
205,JAMES.VAN RIEMSDYK,2016-2017,TOR,,82,1059.02,443,320,348,39.87,31.32,28.8,0.56,1,3,25,11,1,12,12,1,13,0.68,0.74,19,36,1.08,2.04,56,103,-47,3.17,5.84,
211,JAROMIR.JAGR,2016-2017,FLA,,82,1129.59,379,392,311,35.03,28.74,36.23,0.55,1,1,50,20,0,20,15,0,15,1.06,0.8,34,40,1.81,2.12,20,80,-60,1.06,4.25,
212,JASON.CHIMERA,2016-2017,NYI,,82,938.25,260,330,285,29.71,32.57,37.71,0.48,10,12,45.45,12,2,14,5,2,7,0.9,0.45,25,16,1.6,1.02,143,84,59,9.14,5.37,
224,JOAKIM.NORDSTROM,2016-2017,CAR,,82,877.58,228,285,233,30.56,31.23,38.2,0.49,8,16,33.33,4,1,5,9,1,10,0.34,0.68,19,20,1.3,1.37,140,112,28,9.57,7.66,
253,JOSH.BAILEY,2016-2017,NYI,,82,1185.64,478,387,288,41.46,24.98,33.56,0.62,1,2,33.33,5,0,5,8,0,8,0.25,0.4,44,48,2.23,2.43,34,64,-30,1.72,3.24,
256,JOSH.MANSON,2016-2017,ANA,,82,1286.17,383,420,407,31.65,33.64,34.71,0.48,0,0,NA,22,3,25,12,3,15,1.17,0.7,48,18,2.24,0.84,175,119,56,8.16,5.55,
270,KARL.ALZNER,2016-2017,WSH,,82,1310.8,382,548,426,28.17,31.42,40.41,0.47,0,0,NA,12,0,12,6,0,6,0.55,0.27,36,10,1.65,0.46,86,102,-16,3.94,4.67,
294,LEE.STEMPNIAK,2016-2017,CAR,,82,1108.53,369,347,249,38.24,25.8,35.96,0.6,3,5,37.5,17,0,17,12,0,12,0.92,0.65,41,53,2.22,2.87,106,106,0,5.74,5.74,
468,TJ.BRODIE,2016-2017,CGY,,82,1431.38,436,492,489,30.77,34.51,34.72,0.47,0,0,NA,8,0,8,13,0,13,0.34,0.54,61,38,2.56,1.59,22,70,-48,0.92,2.93,
476,TOM.PYATT,2016-2017,OTT,,82,1040.27,303,423,359,27.93,33.09,38.99,0.46,15,17,46.88,7,0,7,11,0,11,0.4,0.63,14,25,0.81,1.44,45,118,-73,2.6,6.81,
481,TREVOR.LEWIS,2016-2017,L.A,,82,1022.56,336,344,287,34.75,29.68,35.57,0.54,34,52,39.53,13,0,13,6,0,6,0.76,0.35,11,14,0.65,0.82,167,151,16,9.8,8.86,
12,ALEX.CHIASSON,2016-2017,CGY,,81,933.2,330,305,246,37.46,27.92,34.62,0.57,7,21,25,11,1,12,5,1,6,0.77,0.39,19,29,1.22,1.86,69,88,-19,4.44,5.66,
75,BROCK.NELSON,2016-2017,NYI,,81,1018.6,263,318,291,30.16,33.37,36.47,0.47,278,377,42.44,15,0,15,20,0,20,0.88,1.18,36,38,2.12,2.24,42,72,-30,2.47,4.24,
103,CHRIS.VANDEVELDE,2016-2017,PHI,,81,715.51,155,218,179,28.08,32.43,39.49,0.46,18,14,56.25,4,0,4,10,0,10,0.34,0.84,9,10,0.75,0.84,108,124,-16,9.06,10.4,
187,IAN.COLE,2016-2017,PIT,,81,1366.02,421,493,414,31.7,31.17,37.12,0.5,0,0,NA,22,2,24,11,2,13,1.05,0.57,42,24,1.84,1.05,145,206,-61,6.37,9.05,
213,JASON.DEMERS,2016-2017,FLA,,81,1260.55,390,517,391,30.05,30.12,39.83,0.5,0,1,0,18,1,19,8,1,9,0.9,0.43,29,14,1.38,0.67,90,88,2,4.28,4.19,
216,JAY.BEAGLE,2016-2017,WSH,,81,832.35,175,310,374,20.37,43.54,36.09,0.32,444,336,56.92,9,0,9,10,0,10,0.65,0.72,20,6,1.44,0.43,53,53,0,3.82,3.82,
331,MATT.MOULSON,2016-2017,BUF,,81,760.72,252,237,214,35.85,30.44,33.71,0.54,1,2,33.33,2,0,2,5,0,5,0.16,0.39,10,18,0.79,1.42,34,26,8,2.68,2.05,
334,MATT.STAJAN,2016-2017,CGY,,81,856.3,162,275,297,22.07,40.46,37.47,0.35,316,297,51.55,19,0,19,8,0,8,1.33,0.56,19,24,1.33,1.68,59,35,24,4.13,2.45,
394,PATRICK.MARLEAU,2016-2017,S.J,,81,1085.79,339,387,324,32.29,30.86,36.86,0.51,92,82,52.87,10,0,10,10,0,10,0.55,0.55,37,40,2.04,2.21,78,86,-8,4.31,4.75,
414,RADIM.VRBATA,2016-2017,ARI,,81,1063.27,335,382,447,28.78,38.4,32.82,0.43,7,22,24.14,4,0,4,4,0,4,0.23,0.23,23,27,1.3,1.52,44,41,3,2.48,2.31,
432,SAM.GAGNER,2016-2017,CBJ,,81,860.2,251,221,239,35.3,33.61,31.08,0.51,140,156,47.3,8,0,8,8,0,8,0.56,0.56,23,17,1.6,1.19,18,58,-40,1.26,4.05,
23,ANDREJ.SUSTR,2016-2017,T.B,,80,1211.98,255,410,446,22.95,40.14,36.9,0.36,0,1,0,18,1,19,3,1,4,0.94,0.2,40,13,1.98,0.64,41,97,-56,2.03,4.8,
64,BRENDEN.DILLON,2016-2017,S.J,,80,1229.48,366,427,310,33.18,28.11,38.71,0.54,0,0,NA,16,4,20,8,4,12,0.98,0.59,33,10,1.61,0.49,164,120,44,8,5.86,
69,BRIAN.CAMPBELL,2016-2017,CHI,,80,1302.53,356,448,312,31.9,27.96,40.14,0.53,0,0,NA,8,0,8,7,0,7,0.37,0.32,52,11,2.4,0.51,41,148,-107,1.89,6.82,
115,COLTON.SCEVIOUR,2016-2017,FLA,,80,913.5,224,329,288,26.63,34.24,39.12,0.44,25,19,56.82,8,1,9,4,1,5,0.59,0.33,18,31,1.18,2.04,106,81,25,6.96,5.32,
155,DUSTIN.BROWN,2016-2017,L.A,,80,1022.53,366,374,302,35.12,28.98,35.89,0.55,2,2,50,9,0,9,20,0,20,0.53,1.17,21,18,1.23,1.06,170,142,28,9.98,8.33,
156,DWIGHT.KING,2016-2017,MTL,,80,1011.45,325,327,274,35.1,29.59,35.31,0.54,4,10,28.57,5,0,5,2,0,2,0.3,0.12,17,13,1.01,0.77,116,102,14,6.88,6.05,
169,FRANCOIS.BEAUCHEMIN,2016-2017,COL,,80,1339.5,408,399,474,31.85,37,31.15,0.46,0,0,NA,10,0,10,5,0,5,0.45,0.22,37,24,1.66,1.08,65,42,23,2.91,1.88,
268,JUSTIN.WILLIAMS,2016-2017,WSH,,80,1017.58,314,346,219,35.72,24.91,39.36,0.59,18,21,46.15,21,0,21,14,0,14,1.24,0.83,37,30,2.18,1.77,24,119,-95,1.42,7.02,
279,KEVIN.SHATTENKIRK,2016-2017,WSH,,80,1242.29,433,377,314,38.52,27.94,33.54,0.58,0,0,NA,18,1,19,2,1,3,0.92,0.14,33,23,1.59,1.11,83,107,-24,4.01,5.17,
356,MIKKEL.BOEDKER,2016-2017,S.J,,80,929.08,307,344,251,34.04,27.83,38.14,0.55,3,6,33.33,3,0,3,11,0,11,0.19,0.71,26,25,1.68,1.61,65,66,-1,4.2,4.26,
368,NICK.BONINO,2016-2017,PIT,,80,963.85,252,325,335,27.63,36.73,35.64,0.43,435,449,49.21,4,0,4,5,0,5,0.25,0.31,20,24,1.25,1.49,55,77,-22,3.42,4.79,
401,PAUL.MARTIN,2016-2017,S.J,,80,1347.75,465,463,350,36.38,27.39,36.23,0.57,0,0,NA,10,0,10,1,0,1,0.45,0.04,51,32,2.27,1.42,39,85,-46,1.74,3.78,
419,RILEY.SHEAHAN,2016-2017,DET,,80,935.15,248,322,290,28.84,33.72,37.44,0.46,208,203,50.61,6,0,6,4,0,4,0.38,0.26,20,19,1.28,1.22,79,96,-17,5.07,6.16,
76,BROOKS.ORPIK,2016-2017,WSH,,79,1184.07,373,369,294,36,28.38,35.62,0.56,0,0,NA,11,2,13,7,2,9,0.66,0.46,28,5,1.42,0.25,155,123,32,7.85,6.23,
